,sex,gross_time,net_time,split_5km,split_10km,split_15km,split_20km,split_中間点,split_25km,split_30km,split_35km,split_40km,split_Finish,lap_5km,lap_10km,lap_15km,lap_20km,lap_中間点,lap_25km,lap_30km,lap_35km,lap_40km,lap_Finish
1,マラソン男子,,,00:15:30,00:30:59,00:46:15,01:01:50,01:05:17,01:18:01,01:35:15,0,0,0,0,0:15:29,0:15:16,0:15:35,0,0:16:11,0:17:14,0,0,0
2,マラソン男子,2:27:05,2:27:04,00:15:41,00:31:56,00:48:28,01:05:05,01:08:42,01:22:12,01:40:33,01:59:03,02:18:31,02:27:05,0:15:40,0:16:15,0:16:32,0:16:37,0,0:17:07,0:18:21,0:18:30,0:19:28,0:08:34
